Julien Cornebise,23
Jonathan Hunt,2
Cyprien de Masson,1
Andreas Fidjeland,4
George van den Driessche,2
The Gitter Badger,1
JT Bates,1
Thomas K��ppe,2
Hugh Perkins,10
Rui Guo,7
Massimo Bernava,1
Joost van Doorn,3
marioyc,1
Dan Horgan,12
Jeff Johnson,1
Jacob Menick,1
Jonathan J Hunt,2
Jack Rae,1
Koray Kavukcuoglu,3
Achal Dave,1
Francisco Massa,2
Grisson Wang,1
Arnaud Chauveur,2
John Myles White,1
Wojciech Czarnecki,1
Mevlana Gemici,1
Kaiyu Yang,2
Georg Ostrovski,15
Jonathan Tompson,2
Adam Paszke,16
carwin,1
Wen Li Zhuang,1
JonyEpsilon,1
Xiangyan Sun,1
ivpopov,1
samehkhamis,1
Jiahao Chen,1
Jeff Rose,3
Dominik Grewe,25
Nicholas Leonard,11
Taewoo Lee,4
Marko Vitez,1
Brandon Amos,2
Trevor Killeen,2
C��dric Deltheil,4
Julien,11
ztaylor,11
Nicolas Koumchatzky,1
Ronan Collobert,142
Robert,1
Jesús Navarrete,1
Timothy Emerick,2
GeorgOstrovski,11
Sergey Zagoruyko,1
soumith,17
Ivo Danihelka,9
Sam Gross,12
Paul Kulchenko,1
Tim Harley,30
Andreas K��pf,1
Pontus Stenetorp,1
Eric Cosatto,1
Anton Bakhtin,1
Sergio Gomez,8
Srinivasan Sriram,4
Adria Puigdomenech,2
ludamad,1
ibmua,1
KeonKim,2
Lumin Zhou,2
Alfredo Canziani,7
fsuzanomassa,2
Xinwei Geng,2
Eddie,1
Malcolm Reynolds,4
Avi,1
Thomas Köppe,5
lake4790k,1
James Kirkpatrick,2
Tzu-Wei Huang,1
diz_vara,2
Alvin Chua,2
cpuhrsch,1
Kieran Milan,1
Frederic Besse,2
liboyue,4
Bart van Merriënboer,1
nicholas-leonard,19
Soumith Chintala,369
nkoumchatzky,2
Zhou Mo,3
Yotam Doron,1
Tudor Bosman,2
eulerreich,1
Ata Mahjoubfar,2
Muhaeb,1
Anastasius,1
Zeming Lin,1
Andreas Köpf,1
tpltnt,1
Pierre-Francois Laquerre,1
BTNC,2
Allan Jabri,2
Boris Fomitchev,4
albanD,2
Laurynas,1
koray kavukcuoglu,71
marris,1
Cédric Deltheil,9
Jun Su,1
David Saxton,4
John Martin,1
Nicholas Léonard,3
Will Feng,2
Clement Farabet,56
Li Dong,2
Linus Unnebäck,1
Élie Michel,4
Yori Zwols,12
Howard Su,3
j-wilson,3
Alban Desmaison,3
Luke Alonso,2
Jonas Gehring,1
Adam Lerer,8
Leon Bottou,9
Prayag Verma,1
lran,1
